network,optimizer,fitness_type,chance_temperature,utility_temperature,pct,n_decision_rules,total_rules,rep,seed,acc_best,acc_mean,acc_worst,sat_acc_mean,n_satisfiers,stop_generation,cpu_total
bypass,emna,binary,0.5,2.0,10,2,20,1,43,85.0,56.9,35.0,57.142857142857146,49,50,2.796875
bypass,emna,binary,0.5,2.0,10,2,20,2,44,90.0,70.8,50.0,71.84782608695652,46,59,3.234375
bypass,emna,binary,0.5,2.0,10,2,20,3,45,95.0,67.5,35.0,69.45652173913044,46,52,2.8125
bypass,emna,binary,0.5,2.0,10,2,20,4,46,85.0,70.8,45.0,72.55555555555556,45,53,2.65625
bypass,emna,binary,1.0,0.5,10,2,20,0,42,85.0,57.1,30.0,57.71739130434783,46,50,2.90625
bypass,emna,binary,1.0,0.5,10,2,20,1,43,75.0,42.2,15.0,42.02127659574468,47,50,2.453125
bypass,emna,binary,1.0,0.5,10,2,20,2,44,95.0,65.3,40.0,66.66666666666667,45,51,2.796875
bypass,emna,binary,1.0,0.5,10,2,20,3,45,75.0,56.4,35.0,56.42857142857143,49,50,2.8125
bypass,emna,binary,1.0,0.5,10,2,20,4,46,95.0,68.4,45.0,68.22916666666667,48,54,2.921875
bypass,emna,binary,1.0,1.0,10,2,20,0,42,85.0,57.0,35.0,58.26086956521739,46,53,2.828125
bypass,emna,binary,1.0,1.0,10,2,20,1,43,85.0,63.1,35.0,63.1,50,50,2.484375
bypass,emna,binary,1.0,1.0,10,2,20,2,44,95.0,59.2,35.0,59.8936170212766,47,57,3.46875
bypass,emna,binary,1.0,1.0,10,2,20,3,45,95.0,77.6,50.0,78.4375,48,51,2.875
bypass,emna,binary,1.0,1.0,10,2,20,4,46,95.0,69.7,45.0,69.79591836734694,49,51,2.765625
