net,optimizer,fitness_type,rules_pct,n_train_rules,noise,n_noisy_rules,n_correct_rules,rep,seed,size_gen,total_rules,stop_generation,best_accuracy,mean_accuracy,mse_chance,mse_utility,cpu_total
bypass2,egna,regret,20,4,0.25,1,3,1,43,50,20,8,90.0,52.4,0.672934163020741,6.7805738906162265,5.75
bypass2,egna,regret,20,4,0.25,1,3,2,44,50,20,15,75.0,53.5,1.0481749452097107,12.535938673727314,8.9375
bypass2,egna,regret,20,4,0.25,1,3,3,45,50,20,9,75.0,53.0,1.0272796969302738,9.372639543108326,5.015625
bypass2,egna,regret,20,4,0.25,1,3,4,46,50,20,9,95.0,69.8,1.0810789814523845,6.453197300046358,5.046875
bypass2,egna,regret,20,4,0.25,1,3,5,47,50,20,13,90.0,65.2,0.6864339066665317,16.264327636729845,7.53125
bypass2,egna,regret,20,4,0.25,1,3,6,48,50,20,11,75.0,52.3,0.522919911669849,10.822397247760048,6.25
bypass2,egna,regret,20,4,0.25,1,3,7,49,50,20,6,95.0,63.9,0.4680604243321332,8.81587337925664,3.40625
bypass2,egna,regret,20,4,0.25,1,3,8,50,50,20,9,85.0,64.5,1.1959273704666369,10.04370563216096,4.921875
bypass2,egna,regret,20,4,0.25,1,3,9,51,50,20,8,75.0,56.6,1.1329223951500746,11.098473088570724,4.53125
bypass2,egna,regret,20,4,0.5,2,2,0,42,50,20,11,85.0,56.1,0.8581013174937286,9.722324308832798,5.921875
bypass2,egna,regret,20,4,0.5,2,2,1,43,50,20,10,80.0,48.7,0.9872077218383033,6.515746112259276,5.65625
bypass2,egna,regret,20,4,0.5,2,2,2,44,50,20,8,55.00000000000001,32.8,1.1248270012768398,17.419623222323015,4.625
bypass2,egna,regret,20,4,0.5,2,2,3,45,50,20,12,85.0,54.3,1.1664382298158098,9.97663052900426,6.75
bypass2,egna,regret,20,4,0.5,2,2,4,46,50,20,18,80.0,60.2,0.6405031241865163,6.9109948278159985,10.046875
bypass2,egna,regret,20,4,0.5,2,2,5,47,50,20,14,95.0,64.5,0.9299882013973098,11.06775587988333,8.0
bypass2,egna,regret,20,4,0.5,2,2,6,48,50,20,7,90.0,50.9,0.9002441675794416,9.599809107677812,3.984375
bypass2,egna,regret,20,4,0.5,2,2,7,49,50,20,10,85.0,60.1,0.7854111312794062,9.281768784760203,5.484375
bypass2,egna,regret,20,4,0.5,2,2,8,50,50,20,17,95.0,64.8,1.3392818011620085,11.733755826702572,8.625
bypass2,egna,regret,20,4,0.5,2,2,9,51,50,20,12,70.0,55.7,1.3376894740310323,14.19266443475689,6.3125
bypass2,egna,regret,40,8,0.0,0,8,0,42,50,20,10,95.0,75.1,1.4128623206630972,9.97298927309957,5.984375
bypass2,egna,regret,40,8,0.0,0,8,1,43,50,20,14,95.0,82.0,2.093759126921103,10.60005815262413,7.65625
bypass2,egna,regret,40,8,0.0,0,8,2,44,50,20,14,85.0,67.0,2.1456139740179663,17.077166002325505,7.546875
