net,optimizer,fitness_type,noise,rep,seed,size_gen,n_noisy_rules,total_rules,stop_generation,best_accuracy,mean_accuracy,mse_chance,mse_utility,cpu_total
bypass2,emna,binary,0.0,5,47,50,0,20,60,100.0,93.5,0.6360474480688512,5.383422333615862,5.984375
bypass2,emna,binary,0.0,6,48,50,0,20,58,100.0,98.2,0.6185170252353935,3.1718799050237587,5.65625
bypass2,emna,binary,0.0,7,49,50,0,20,60,95.0,94.8,1.3538396987092816,5.397672219182517,5.953125
bypass2,emna,binary,0.0,8,50,50,0,20,60,100.0,94.5,0.653587651736982,11.945659511202877,5.796875
bypass2,emna,binary,0.0,9,51,50,0,20,60,95.0,92.1,0.7217512513347194,7.0426193298821484,6.203125
bypass2,emna,binary,0.1,0,42,50,2,20,60,75.0,74.9,0.5527044467827196,9.619751097687818,5.765625
bypass2,emna,binary,0.1,1,43,50,2,20,60,85.0,84.8,1.9835181675023068,6.510450210055149,6.265625
bypass2,emna,binary,0.1,2,44,50,2,20,60,95.0,82.0,1.249481960830353,6.947488736302827,5.859375
bypass2,emna,binary,0.1,3,45,50,2,20,60,95.0,82.4,1.0253244848415541,9.886378371184257,5.859375
bypass2,emna,binary,0.1,4,46,50,2,20,60,95.0,84.3,0.9586716475924495,12.904591342306993,6.359375
bypass2,emna,binary,0.1,5,47,50,2,20,60,85.0,79.9,1.3868053538264524,5.333243537272094,5.875
bypass2,emna,binary,0.1,6,48,50,2,20,60,95.0,89.3,0.82925558467633,8.878879583537097,6.15625
bypass2,emna,binary,0.1,7,49,50,2,20,60,100.0,90.5,1.2618615707694445,9.901806018894561,6.0625
bypass2,emna,binary,0.1,8,50,50,2,20,60,95.0,86.1,1.3654547766723786,10.627559750508906,6.3125
bypass2,emna,binary,0.1,9,51,50,2,20,60,95.0,83.1,1.2506001675231757,5.6366630228497625,6.046875
bypass2,emna,binary,0.2,0,42,50,4,20,60,75.0,66.6,1.6478563145205178,3.5838295853190894,6.015625
bypass2,emna,binary,0.2,1,43,50,4,20,60,85.0,79.4,1.164902718321547,24.102581366072894,6.0
bypass2,emna,binary,0.2,2,44,50,4,20,60,100.0,73.0,1.0317611685166448,9.271022692783266,5.96875
bypass2,emna,binary,0.2,3,45,50,4,20,60,95.0,87.8,1.9629693012176326,8.768067630767336,5.796875
bypass2,emna,binary,0.2,4,46,50,4,20,60,95.0,68.1,0.6088085173489816,13.52901739200952,5.65625
bypass2,emna,binary,0.2,5,47,50,4,20,60,85.0,74.0,0.8368653455335031,4.4709620105181695,6.109375
bypass2,emna,binary,0.2,6,48,50,4,20,60,85.0,74.4,0.9410805687762781,10.65518985185274,6.40625
bypass2,emna,binary,0.2,7,49,50,4,20,60,90.0,89.1,0.47803893428079536,11.826130448880027,5.984375
bypass2,emna,binary,0.2,8,50,50,4,20,60,75.0,65.5,1.4128405297210445,2.6933689230380313,6.046875
bypass2,emna,binary,0.2,9,51,50,4,20,60,95.0,72.2,1.1155516867358115,8.319376722843717,6.125
bypass2,emna,binary,0.3,0,42,50,6,20,60,70.0,57.0,0.672349162962293,19.141305435488395,5.90625
bypass2,emna,binary,0.3,1,43,50,6,20,60,75.0,68.4,1.9557446101758476,17.249854227124693,6.328125
bypass2,emna,binary,0.3,2,44,50,6,20,60,95.0,65.8,1.0366257124221674,6.686625252013842,6.109375
bypass2,emna,binary,0.3,3,45,50,6,20,60,100.0,90.8,1.5093961906819586,9.540084138385465,6.421875
bypass2,emna,binary,0.3,4,46,50,6,20,60,75.0,57.7,1.416380925201706,10.996451855838185,5.609375
bypass2,emna,binary,0.3,5,47,50,6,20,60,85.0,65.7,0.4633931486102001,6.786905333853941,6.328125
bypass2,emna,binary,0.3,6,48,50,6,20,60,60.0,59.8,0.9222632281729052,20.910933368119693,6.21875
bypass2,emna,binary,0.3,7,49,50,6,20,60,75.0,64.6,0.796974919846475,8.28635451213686,5.6875
bypass2,emna,binary,0.3,8,50,50,6,20,60,85.0,77.5,0.5633535392131829,10.60941229404282,6.578125
bypass2,emna,binary,0.3,9,51,50,6,20,60,95.0,76.7,0.5838645905638917,12.859314364615537,5.859375
bypass2,emna,binary,0.4,0,42,50,8,20,60,75.0,51.8,1.1953330875386627,10.419400372899114,5.96875
bypass2,emna,binary,0.4,1,43,50,8,20,60,65.0,48.1,0.6155932733175652,16.232745778794847,5.9375
bypass2,emna,binary,0.4,2,44,50,8,20,60,75.0,59.6,0.7896446120158005,16.9213728080927,6.03125
bypass2,emna,binary,0.4,3,45,50,8,20,60,80.0,71.4,1.0842706149801598,10.792543425795,5.828125
bypass2,emna,binary,0.4,4,46,50,8,20,60,65.0,56.8,1.8308881227039513,6.156031370083974,5.828125
bypass2,emna,binary,0.4,5,47,50,8,20,60,75.0,50.6,1.4002008469083838,6.637413516165636,5.890625
bypass2,emna,binary,0.4,6,48,50,8,20,60,85.0,63.5,0.4894458662108597,9.249770848747774,5.78125
bypass2,emna,binary,0.4,7,49,50,8,20,60,65.0,51.8,2.0212379409865937,10.154346078534761,6.015625
