network,optimizer,pct,stop_mode,rep,seed,generation,acc_best,acc_mean,acc_worst,sat_acc_mean,n_satisfiers,pop_size,pct_satisfiers,best_fitness
bypass,umda,5,top10,4,46,27,80.0,54.2,35.0,54.2,50,50,100.0,0.0
bypass,umda,5,top10,4,46,28,85.0,54.7,25.0,54.7,50,50,100.0,0.0
bypass,umda,5,top10,4,46,29,75.0,57.8,35.0,57.8,50,50,100.0,0.0
bypass,umda,5,top10,4,46,30,75.0,56.0,35.0,56.0,50,50,100.0,0.0
bypass,umda,5,top10,4,46,31,75.0,55.8,35.0,55.8,50,50,100.0,0.0
bypass,umda,5,top10,4,46,32,70.0,53.7,35.0,53.7,50,50,100.0,0.0
bypass,umda,5,top10,4,46,33,70.0,55.0,45.0,55.0,50,50,100.0,0.0
bypass,umda,5,top10,4,46,34,80.0,56.0,40.0,56.0,50,50,100.0,0.0
bypass,umda,5,top10,4,46,35,75.0,55.6,45.0,55.6,50,50,100.0,0.0
bypass,umda,5,top10,4,46,36,75.0,58.8,45.0,58.8,50,50,100.0,0.0
bypass,umda,5,top10,4,46,37,70.0,58.6,40.0,58.6,50,50,100.0,0.0
bypass,umda,5,top10,4,46,38,75.0,57.5,40.0,57.5,50,50,100.0,0.0
bypass,umda,5,top10,4,46,39,75.0,61.6,45.0,61.6,50,50,100.0,0.0
bypass,umda,5,top10,4,46,40,75.0,58.3,35.0,58.3,50,50,100.0,0.0
bypass,umda,5,top10,4,46,41,75.0,60.6,45.0,60.6,50,50,100.0,0.0
bypass,umda,5,top10,4,46,42,75.0,59.7,40.0,59.7,50,50,100.0,0.0
bypass,umda,5,top10,4,46,43,80.0,59.2,35.0,59.2,50,50,100.0,0.0
bypass,umda,5,top10,4,46,44,75.0,60.4,45.0,60.4,50,50,100.0,0.0
bypass,umda,5,top10,4,46,45,80.0,59.5,35.0,59.5,50,50,100.0,0.0
bypass,umda,5,top10,4,46,46,80.0,58.5,45.0,58.5,50,50,100.0,0.0
bypass,umda,5,top10,4,46,47,80.0,59.9,50.0,59.9,50,50,100.0,0.0
bypass,umda,5,top10,4,46,48,70.0,58.9,40.0,58.9,50,50,100.0,0.0
bypass,umda,5,top10,4,46,49,70.0,58.5,35.0,58.5,50,50,100.0,0.0
bypass,umda,5,top10,4,46,50,70.0,58.6,45.0,58.6,50,50,100.0,0.0
bypass,umda,5,top10,5,47,1,75.0,50.1,10.0,53.86363636363637,22,50,44.0,0.0
bypass,umda,5,top10,5,47,2,75.0,54.0,25.0,57.407407407407405,27,50,54.0,0.0
bypass,umda,5,top10,5,47,3,85.0,50.1,15.0,55.76923076923077,26,50,52.0,0.0
bypass,umda,5,top10,5,47,4,85.0,53.9,25.0,56.66666666666666,36,50,72.0,0.0
bypass,umda,5,top10,5,47,5,80.0,55.0,20.0,59.0625,32,50,64.0,0.0
bypass,umda,5,top10,5,47,6,85.0,55.8,30.0,58.58974358974359,39,50,78.0,0.0
bypass,umda,5,top10,5,47,7,85.0,58.8,30.0,60.94594594594594,37,50,74.0,0.0
bypass,umda,5,top10,5,47,8,95.0,58.8,35.0,61.0,45,50,90.0,0.0
bypass,umda,5,top10,5,47,9,85.0,60.0,25.0,60.888888888888886,45,50,90.0,0.0
bypass,umda,5,top10,5,47,10,95.0,64.4,35.0,65.54347826086956,46,50,92.0,0.0
bypass,umda,5,top10,5,47,11,85.0,60.6,30.0,62.66666666666666,45,50,90.0,0.0
bypass,umda,5,top10,5,47,12,85.0,60.9,15.0,63.02325581395349,43,50,86.0,0.0
bypass,umda,5,top10,5,47,13,95.0,62.2,25.0,63.66666666666666,45,50,90.0,0.0
bypass,umda,5,top10,5,47,14,95.0,67.6,30.0,68.58695652173913,46,50,92.0,0.0
bypass,umda,5,top10,5,47,15,95.0,68.5,45.0,69.375,48,50,96.0,0.0
bypass,umda,5,top10,5,47,16,95.0,66.6,35.0,67.5,46,50,92.0,0.0
bypass,umda,5,top10,5,47,17,90.0,70.6,35.0,70.6,50,50,100.0,0.0
bypass,umda,5,top10,5,47,18,95.0,68.9,40.0,68.9,50,50,100.0,0.0
bypass,umda,5,top10,5,47,19,100.0,73.0,55.00000000000001,73.0,50,50,100.0,0.0
bypass,umda,5,top10,5,47,20,100.0,75.3,45.0,75.3,50,50,100.0,0.0
bypass,umda,5,top10,5,47,21,95.0,73.4,55.00000000000001,73.4,50,50,100.0,0.0
bypass,umda,5,top10,5,47,22,95.0,72.0,45.0,72.0,50,50,100.0,0.0
